# {'integration_time_us': 10000, 'end_index': 998, 'start_index': 50}
3.373919495667823867e+02,2.396320000000000164e+03,1.462053350599765267e+00
3.381864463526437703e+02,2.396269999999999982e+03,1.413187885597665394e+00
3.389808710960313078e+02,2.396329999999999927e+03,1.342050669684270892e+00
3.397752237924318592e+02,2.396210000000000036e+03,1.409219642213377588e+00
3.405695044373325686e+02,2.396199999999999818e+03,1.442220510185596050e+00
3.413637130262201254e+02,2.396079999999999927e+03,1.238386046433017640e+00
3.421578495545816736e+02,2.396239999999999782e+03,1.613195586406062976e+00
3.429519140179040164e+02,2.396320000000000164e+03,1.561281524901899198e+00
3.437459064116741274e+02,2.396199999999999818e+03,1.378404875209022329e+00
3.445398267313788665e+02,2.396190000000000055e+03,1.426148659852822131e+00
3.453336749725053210e+02,2.396159999999999854e+03,1.635359287740770329e+00
3.461274511305402939e+02,2.396190000000000055e+03,1.339365521431696626e+00
3.469211552009707589e+02,2.396309999999999945e+03,1.440104162899337181e+00
3.477147871792836895e+02,2.396289999999999964e+03,1.358639024906910242e+00
3.485083470609658889e+02,2.396239999999999782e+03,1.407977272543843084e+00
3.493018348415043874e+02,2.396110000000000127e+03,1.529019293534257695e+00
3.500952505163861019e+02,2.396300000000000182e+03,1.438749456993816178e+00
3.508885940810980060e+02,2.396269999999999982e+03,1.719622051498526316e+00
3.516818655311269026e+02,2.396219999999999800e+03,1.439305388025765575e+00
3.524750648619599929e+02,2.396349999999999909e+03,1.472243186433545903e+00
3.532681920690838524e+02,2.396460000000000036e+03,1.329812016790343110e+00
3.540612471479857390e+02,2.396320000000000164e+03,1.325745073534124074e+00
3.548542300941522853e+02,2.396269999999999982e+03,1.427270121595768826e+00
3.556471409030706354e+02,2.396269999999999982e+03,1.384593803250614208e+00
3.564399795702276492e+02,2.396409999999999854e+03,1.379093905432113631e+00
3.572327460911102435e+02,2.396260000000000218e+03,1.293213052826176934e+00
3.580254404612053918e+02,2.396090000000000146e+03,1.428950663948899136e+00
3.588180626760000109e+02,2.396239999999999782e+03,1.600749824301099355e+00
3.596106127309809608e+02,2.396090000000000146e+03,1.470340096712321687e+00
3.604030906216353856e+02,2.395980000000000018e+03,1.643045951883269851e+00
3.611954963434500314e+02,2.396289999999999964e+03,1.485227255338387620e+00
3.619878298919118151e+02,2.396099999999999909e+03,1.276714533480370672e+00
3.627800912625078240e+02,2.396329999999999927e+03,1.510331089529709736e+00
3.635722804507248043e+02,2.396019999999999982e+03,1.385496300969439876e+00
3.643643974520497864e+02,2.396429999999999836e+03,1.328570660522051305e+00
3.651564422619696870e+02,2.396219999999999800e+03,1.526957759730111164e+00
3.659484148759714230e+02,2.396320000000000164e+03,1.522366578718805208e+00
3.667403152895419680e+02,2.396369999999999891e+03,1.527448853480861901e+00
3.675321434981682955e+02,2.396219999999999800e+03,1.473634961583091485e+00
3.683238994973372087e+02,2.396340000000000146e+03,1.234665946724052166e+00
3.691155832825357379e+02,2.396340000000000146e+03,1.457532160880163685e+00
3.699071948492508000e+02,2.396239999999999782e+03,1.477294825009550783e+00
3.706987341929692548e+02,2.396389999999999873e+03,1.427550349374760330e+00
3.714902013091781896e+02,2.396449999999999818e+03,1.472243186433545903e+00
3.722815961933643507e+02,2.396320000000000164e+03,1.384774349849100750e+00
3.730729188410147117e+02,2.396360000000000127e+03,1.445821565754225491e+00
3.738641692476163598e+02,2.396000000000000000e+03,1.549193338482966809e+00
3.746553474086559845e+02,2.396500000000000000e+03,1.545962483374030638e+00
3.754464533196207299e+02,2.396119999999999891e+03,1.394847661933015459e+00
3.762374869759974558e+02,2.396300000000000182e+03,1.526433752247375208e+00
3.770284483732730223e+02,2.396420000000000073e+03,1.386939075806864707e+00
3.778193375069345166e+02,2.396550000000000182e+03,1.366565036871645100e+00
3.786101543724687417e+02,2.396440000000000055e+03,1.538310761842353047e+00
3.794008989653627282e+02,2.396469999999999800e+03,1.345027880751919369e+00
